State,Abbreviation,Mode,ProportionCommute
Rhode Island,ri,Walk,0.035350075
Rhode Island,ri,Work from home,0.037043009
Rhode Island,ri,Other,0.006529888
South Carolina,sc,"Car, truck, or van",0.918665851
South Carolina,sc,Bus,0.005273358
South Carolina,sc,Streetcar,0.000122399
South Carolina,sc,Subway,0.000214198
South Carolina,sc,Railroad,9.18E-05
South Carolina,sc,Ferryboat,3.06E-05
South Carolina,sc,Taxicab,0.001081191
South Carolina,sc,Motorcycle,0.00249898
South Carolina,sc,Bicycle,0.002968176
South Carolina,sc,Walk,0.022021624
South Carolina,sc,Work from home,0.038586291
South Carolina,sc,Other,0.008445532
South Dakota,sd,"Car, truck, or van",0.85316556
South Dakota,sd,Bus,0.003566828
South Dakota,sd,Railroad,4.95E-05
South Dakota,sd,Taxicab,0.000445854
South Dakota,sd,Motorcycle,0.002675121
South Dakota,sd,Bicycle,0.004260378
South Dakota,sd,Walk,0.054939067
South Dakota,sd,Work from home,0.075250173
South Dakota,sd,Other,0.005647478
Tennessee,tn,"Car, truck, or van",0.932472213
Tennessee,tn,Bus,0.006888472
Tennessee,tn,Streetcar,9.64E-05
Tennessee,tn,Subway,0.000103809
Tennessee,tn,Railroad,0.000266938
Tennessee,tn,Ferryboat,5.93E-05
Tennessee,tn,Taxicab,0.000467141
Tennessee,tn,Motorcycle,0.001927882
Tennessee,tn,Bicycle,0.001438497
Tennessee,tn,Walk,0.013984562
Tennessee,tn,Work from home,0.035154194
Tennessee,tn,Other,0.00714058
Texas,tx,"Car, truck, or van",0.909609048
Texas,tx,Bus,0.013005947
Texas,tx,Streetcar,0.000190487
Texas,tx,Subway,0.000628042
Texas,tx,Railroad,0.000805328
Texas,tx,Ferryboat,1.51E-05
Texas,tx,Taxicab,0.000428125
Texas,tx,Motorcycle,0.002802616
Texas,tx,Bicycle,0.002498967
Texas,tx,Walk,0.017109911
Texas,tx,Work from home,0.042401347
Texas,tx,Other,0.010505093
Utah,ut,"Car, truck, or van",0.881312923
Utah,ut,Bus,0.017070639
Utah,ut,Streetcar,0.001071034
Utah,ut,Subway,0.001219331
Utah,ut,Railroad,0.002438663
Utah,ut,Taxicab,0.000164775
Utah,ut,Motorcycle,0.004564254
Utah,ut,Bicycle,0.007579627
Utah,ut,Walk,0.026990064
